Timestamp;Q1;Q2;Q3;Q4;Q5.1;Q5.2;Q5.3;Q5.4;Q5.5;Q5.6;Q6.1;Q6.2;Q6.3;Q6.4;Q6.5;Q6.6;Q6.7;Q6.8;Q7.1;Q7.2;Q7.3;Q7.4;Q8.1;Q8.2;Q8.3;Q8.4;Q8.5;Q9.1;Q9.2;Q9.3;Q9.4;Q9.5;Q10
5.14.2023 21:22:19;2;International Economic Relations;1;4;4;4;5;5;4;3;4;5;3;4;5;5;5;2;3;2;4;5;4;5;5;4;5;4;5;5;4;4;
5.15.2023 8:45:52;1;International Economic Relations ;1;3;2;4;2;1;3;4;5;3;4;5;5;4;5;4;3;3;2;1;4;4;4;2;3;3;4;3;2;2;
5.15.2023 9:54:15;1;International Economic Relations;1;2;3;3;3;2;3;4;3;3;4;4;2;4;4;4;2;2;2;1;4;4;4;3;3;3;3;2;2;3;
5.15.2023 15:17:41;1;International Economic Relations;1;2;4;4;4;2;4;4;5;3;4;5;3;4;5;4;4;4;2;4;4;4;4;4;4;4;4;3;4;4;
5.15.2023 15:19:02;1;International Economic Relations;1;3;4;4;3;2;4;4;4;4;4;4;3;3;4;4;3;2;4;3;3;4;4;3;3;3;3;3;3;3;
5.15.2023 15:23:54;1;International Economic Relations;2;2;5;4;4;2;4;5;4;4;3;4;2;5;4;3;5;3;2;1;5;4;3;2;1;3;4;3;1;2;AI should not be overused by either students or teachers. Assessments should be based on knowledge and skills. They should be done person to person.
5.15.2023 15:24:12;1;International Economic Relations;2;3;3;4;4;3;3;5;4;4;3;5;3;5;4;3;4;2;2;4;4;4;4;3;3;4;3;3;4;3;I like them.
5.15.2023 19:17:51;2;Economics;2;2;2;4;4;3;2;1;5;5;5;5;5;5;5;5;1;1;1;4;3;4;4;4;3;4;3;3;4;3;A specialized course could be created to prepare students to use of generative artificial intelligence.
5.15.2023 19:26:12;1;Economics;2;3;3;4;4;3;3;5;5;5;5;5;4;4;5;3;2;2;2;3;3;4;4;3;3;4;3;3;3;2;Educators should familiarize more students with the capabilities of generative artificial intelligence in education.
5.16.2023 9:04:40;1;Marketing;1;4;4;2;3;1;3;4;4;3;3;5;3;3;5;4;3;3;3;4;4;4;4;2;3;3;4;3;3;3;
5.16.2023 9:06:29;1;Marketing;1;2;2;4;4;3;2;3;5;4;3;5;4;4;5;3;5;3;3;5;2;4;5;3;4;4;4;3;4;4;
5.16.2023 9:07:08;1;Marketing;1;3;4;4;4;3;3;4;4;4;4;5;4;4;4;4;3;4;3;3;4;4;4;4;3;3;3;3;4;3;
5.16.2023 9:07:47;1;Marketing;1;2;4;4;4;2;3;3;4;4;4;4;4;4;4;4;3;3;4;2;4;4;4;3;3;4;4;3;3;4;ChatGPT doesn't change my attitude towards AI at all since I hardly use it.
5.16.2023 9:08:03;1;Marketing;1;2;3;2;3;4;2;5;4;3;5;2;3;1;5;3;1;2;5;4;4;2;3;3;3;3;4;4;3;3;
5.16.2023 9:08:31;1;Marketing;2;3;3;4;4;2;3;3;3;5;2;4;3;4;4;4;2;3;3;4;4;2;3;2;2;4;3;2;2;4;
5.16.2023 9:09:12;1;Marketing;1;3;3;3;4;3;4;5;4;4;3;5;3;4;4;4;4;4;5;4;4;4;4;3;3;3;2;3;3;2;
5.16.2023 9:10:35;1;Marketing;1;5;2;2;2;2;3;3;4;4;4;5;5;4;5;5;3;3;3;3;4;4;4;4;4;4;4;4;4;4;"This is the first time I have come across such technology and I dare to say that the work is greatly facilitated. Most importantly, it helps in the development of the student and the acquisition of knowledge that is useful in learning. I would rate ChatGPT as the best option for getting information. My opinion of artificial intelligence has changed in a positive direction. It was my pleasure to participate in this experiment.
Greetings Diana"
5.16.2023 9:11:05;1;Marketing;1;2;4;4;3;3;4;3;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;4;3;3;4;2;2;�hey help a lot and I use them from time to time.
5.16.2023 9:11:20;1;Marketing;1;1;4;4;3;2;2;2;4;4;4;4;4;3;4;4;4;4;4;4;4;2;4;3;3;3;3;3;3;3;
5.16.2023 9:11:53;1;Marketing;1;2;3;4;4;2;4;4;4;4;4;5;3;4;5;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;
5.16.2023 9:12:06;1;Marketing;1;3;4;3;2;2;4;3;4;2;3;4;4;4;4;4;2;2;2;3;4;4;2;2;3;4;4;3;3;4;As a mature person, I would not abuse the excessive use of ChatGpt. Personally, I only use it when I'm not entirely sure about a question and want to see how reliable the information given by the AI is by comparing it to other sources. It's helped me quite a few times, I think it's comprehensive, and I like the option of being able to present one piece of information in several different ways with different words. I'm glad I have this opportunity to use it and I think it would be useful in education for the future, but not professionally because there everyone has to apply what they already know. Greetings Miglena
5.16.2023 9:12:12;1;Marketing;1;4;3;2;4;2;4;4;5;5;3;5;4;4;4;4;4;4;4;5;4;4;4;2;4;4;4;4;4;4;
5.16.2023 9:12:48;1;Marketing;2;5;5;5;5;3;2;4;4;5;4;5;3;4;4;4;2;2;2;4;4;4;4;2;3;4;2;2;4;3;
5.16.2023 9:12:52;1;Marketing;2;3;4;3;2;2;2;3;4;4;4;4;3;4;4;4;3;4;4;2;4;4;5;4;4;4;4;4;4;3;Generative artificial intelligence technologies are definitely of great benefit to higher education because they support the work of students during their studies. ChatGPT is certainly changing the attitude towards artificial intelligence and intelligent chatbots.
5.16.2023 9:13:39;1;Marketing;1;3;5;5;5;1;4;4;5;5;4;4;4;3;5;5;5;5;5;3;4;4;4;1;3;2;5;4;3;3;In a large percentage of cases where I've used the chatbot it gave me wrong or inaccurate answers. I can't trust this artificial intelligence and I always have to check the information it gives me through other sources as well. I don't think it's sophisticated and useful enough to be used in our university studies. I would trust the internet more.
5.16.2023 9:14:47;1;Marketing;1;2;3;2;4;2;4;3;4;4;4;4;3;4;4;3;3;3;3;1;3;4;4;3;3;3;4;3;4;3;Extremely helpful and informative tool.
