Timestamp;Q1;Q2;Q3;Q4;Q5.1;Q5.2;Q5.3;Q5.4;Q5.5;Q5.6;Q6.1;Q6.2;Q6.3;Q6.4;Q6.5;Q6.6;Q6.7;Q6.8;Q7.1;Q7.2;Q7.3;Q7.4;Q8.1;Q8.2;Q8.3;Q8.4;Q8.5;Q9.1;Q9.2;Q9.3;Q9.4;Q9.5;Q10
5.14.2023 21:22:19;Master;International Economic Relations;Female;Îften;Agree;Agree;Strongly Agree;Strongly Agree;Agree;Neutral;Agree;Strongly Agree;Neutral;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;Neutral;Disagree;Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Agree;Agree;
5.15.2023 8:45:52;Bachelor;International Economic Relations ;Female;Sometimes;Disagree;Agree;Disagree;Strongly Disagree;Neutral;Agree;Strongly Agree;Neutral;Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Agree;Neutral;Neutral;Disagree;Strongly Disagree;Agree;Agree;Agree;Disagree;Neutral;Neutral;Agree;Neutral;Disagree;Disagree;
5.15.2023 9:54:15;Bachelor;International Economic Relations;Female;Rarely;Neutral;Neutral;Neutral;Disagree;Neutral;Agree;Neutral;Neutral;Agree;Agree;Disagree;Agree;Agree;Agree;Disagree;Disagree;Disagree;Strongly Disagree;Agree;Agree;Agree;Neutral;Neutral;Neutral;Neutral;Disagree;Disagree;Neutral;
5.15.2023 15:17:41;Bachelor;International Economic Relations;Female;Rarely;Agree;Agree;Agree;Disagree;Agree;Agree;Strongly Agree;Neutral;Agree;Strongly Agree;Neutral;Agree;Strongly Agree;Agree;Agree;Agree;Disagree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Neutral;Agree;Agree;
5.15.2023 15:19:02;Bachelor;International Economic Relations;Female;Sometimes;Agree;Agree;Neutral;Disagree;Agree;Agree;Agree;Agree;Agree;Agree;Neutral;Neutral;Agree;Agree;Neutral;Disagree;Agree;Neutral;Neutral;Agree;Agree;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;
5.15.2023 15:23:54;Bachelor;International Economic Relations;Male;Rarely;Strongly Agree;Agree;Agree;Disagree;Agree;Strongly Agree;Agree;Agree;Neutral;Agree;Disagree;Strongly Agree;Agree;Neutral;Strongly Agree;Neutral;Disagree;Strongly Disagree;Strongly Agree;Agree;Neutral;Disagree;Strongly Disagree;Neutral;Agree;Neutral;Strongly Disagree;Disagree;AI should not be overused by either students or teachers. Assessments should be based on knowledge and skills. They should be done person to person.
5.15.2023 15:24:12;Bachelor;International Economic Relations;Male;Sometimes;Neutral;Agree;Agree;Neutral;Neutral;Strongly Agree;Agree;Agree;Neutral;Strongly Agree;Neutral;Strongly Agree;Agree;Neutral;Agree;Disagree;Disagree;Agree;Agree;Agree;Agree;Neutral;Neutral;Agree;Neutral;Neutral;Agree;Neutral;I like them.
5.15.2023 19:17:51;Master;Economics;Male;Rarely;Disagree;Agree;Agree;Neutral;Disagree;Strongly Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Agree;Neutral;Agree;Agree;Agree;Neutral;Agree;Neutral;Neutral;Agree;Neutral;A specialized course could be created to prepare students to use of generative artificial intelligence.
5.15.2023 19:26:12;Bachelor;Economics;Male;Sometimes;Neutral;Agree;Agree;Neutral;Neutral;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Strongly Agree;Neutral;Disagree;Disagree;Disagree;Neutral;Neutral;Agree;Agree;Neutral;Neutral;Agree;Neutral;Neutral;Neutral;Disagree;Educators should familiarize more students with the capabilities of generative artificial intelligence in education.
5.16.2023 9:04:40;Bachelor;Marketing;Female;Îften;Agree;Disagree;Neutral;Strongly Disagree;Neutral;Agree;Agree;Neutral;Neutral;Strongly Agree;Neutral;Neutral;Strongly Agree;Agree;Neutral;Neutral;Neutral;Agree;Agree;Agree;Agree;Disagree;Neutral;Neutral;Agree;Neutral;Neutral;Neutral;
